date,equity,cash,unrealized,realized,spy_equiv,dualmom_equiv
2026-07-27,5492.42,427.81,-294.03,-525.31,6618.15,6191.83
2026-07-30,5472.15,427.81,-314.30,-525.31,6615.82,6199.18
2026-07-31,5565.00,427.81,-221.45,-525.31,6648.54,6230.04
2026-08-01,5460.11,427.81,-326.33,-525.31,6696.40,6279.03
2026-08-02,5460.11,427.81,-326.33,-525.31,6696.40,6279.03
2026-08-03,3510.10,427.81,-356.34,-525.31,4810.78,4463.57
2026-08-04,3509.45,427.81,-356.99,-525.31,4743.25,4447.61
2026-08-05,3617.48,427.81,-248.96,-525.31,4897.54,4580.16
2026-08-06,3941.65,6.41,75.21,-525.31,4879.96,4512.15
2026-08-07,3957.71,63.29,99.79,-533.83,4909.80,4555.18
2026-08-08,3957.71,63.29,99.79,-533.83,4909.80,4555.18
2026-08-09,3957.71,63.29,99.79,-533.83,4909.80,4555.18
2026-08-10,3890.08,63.29,32.15,-533.83,4908.34,4522.56
2026-08-11,3909.88,63.29,51.96,-533.83,4892.65,4540.60
2026-08-12,4078.03,63.29,220.11,-533.83,4904.91,4612.08
2026-08-13,3975.26,1495.00,66.85,-487.90,4939.13,4627.35
2026-08-14,3984.05,1495.00,75.64,-487.90,4929.35,4622.49
2026-08-15,3984.05,1495.00,75.64,-487.90,4929.35,4622.49
2026-08-16,3984.05,1495.00,75.64,-487.90,4929.35,4622.49
2026-08-17,3965.96,1495.00,57.55,-487.90,4906.05,4671.76
2026-08-18,3970.42,3970.42,0.00,-425.89,4878.43,4539.56
