date,ticker,name
2014-01-10,GLYC,"CRESCENT BIOPHARMA, INC."
2014-01-10,RTRX,"Travere Therapeutics, Inc."
2014-01-15,CELP,"Cypress Environmental Partners, L.P."
2014-01-17,EPE,EP Energy Corp
2014-01-17,HELI,CHC Group Ltd.
2014-01-17,RSPP,"RSP Permian, Inc."
2014-01-23,SC,Santander Consumer USA Holdings Inc.
2014-01-24,CRCM,Care.com Inc
2014-01-24,RICE,"EQT RE, LLC"
2014-01-29,NADL,North Atlantic Drilling Ltd.
2014-01-30,CLDN,"Eiger BioPharmaceuticals, Inc."
2014-01-30,DRNA,Dicerna Pharmaceuticals Inc
2014-01-31,CARA,"Tvardi Therapeutics, Inc."
2014-01-31,NWHM,New Home Co Inc.
2014-01-31,RARE,Ultragenyx Pharmaceutical Inc.
2014-01-31,TRVN,TREVENA INC
2014-02-05,ASPX,"Auspex Pharmaceuticals, Inc."
2014-02-05,BIOC,BIOCEPT INC
2014-02-05,CBPX,"Continental Building Products, Inc."
2014-02-05,GNCA,"GENOCEA BIOSCIENCES, INC."
2014-02-05,QURE,uniQure N.V.
2014-02-06,EBIO,CARISMA Therapeutics Inc.
2014-02-06,EGLT,Zyla Life Sciences
2014-02-06,RVNC,"Revance Therapeutics, Inc."
2014-02-07,ARGS,ARGOS THERAPEUTICS INC
2014-02-07,GPRK,GeoPark Ltd
2014-02-11,NRX,"NephroGenex, Inc."
2014-02-12,EGRX,"EAGLE PHARMACEUTICALS, INC."
2014-02-12,FLXN,Flexion Therapeutics Inc
2014-02-13,AMDA,"Sintx Technologies, Inc."
2014-02-13,CNCE,"CONCERT PHARMACEUTICALS, INC."
2014-02-13,IBP,"Installed Building Products, Inc."
2014-02-14,INGN,Inogen Inc
2014-02-27,LMNS,LUMENIS LTD
2014-02-28,VRNS,VARONIS SYSTEMS INC
2014-03-07,AQXP,Neurogene Inc.
2014-03-07,COUP,Quotient Technology Inc.
2014-03-07,REPH,"Societal CDMO, Inc."
2014-03-12,AKAO,"Achaogen, Inc."
2014-03-13,DPRX,PLx Pharma Winddown Corp.
2014-03-13,GLMD,Galmed Pharmaceuticals Ltd.
2014-03-14,CSLT,"CASTLIGHT HEALTH, INC."
2014-03-14,RXDX,"Ignyta, Inc."
2014-03-19,PCTY,Paylocity Holding Corp
2014-03-20,AKBA,"Akebia Therapeutics, Inc."
2014-03-20,MDWD,MediWound Ltd.
2014-03-20,QTWO,"Q2 Holdings, Inc."
2014-03-21,ATEN,"A10 Networks, Inc."
2014-03-21,RTGN,"Pulmatrix, Inc."
2014-03-26,KING,King Digital Entertainment plc
2014-03-26,NORD,"Nord Anglia Education, Inc."
2014-03-27,AGTC,APPLIED GENETIC TECHNOLOGIES CORP
2014-03-27,SQBK,SQUARE 1 FINANCIAL INC
2014-03-27,TNET,"TRINET GROUP, INC."
2014-03-28,BRG,"Bluerock Residential Growth REIT, Inc."
2014-03-28,CBSO,OUTFRONT Media Inc.
2014-03-28,EVDY,"Everyday Health, Inc."
2014-03-28,HIVE,"AEROHIVE NETWORKS, INC"
2014-03-28,WATT,Energous Corp
2014-04-01,PIH,FG Nexus Inc.
2014-04-02,RUBI,"MAGNITE, INC."
2014-04-03,CORI,"Corium International, Inc."
2014-04-04,FIVN,"Five9, Inc."
2014-04-04,GRUB,Grubhub Inc.
2014-04-04,IMS,"IMS Health Holdings, Inc."
2014-04-09,KANG,"iKang Healthcare Group, Inc."
2014-04-09,LQ,La Quinta Holdings Inc.
2014-04-10,ADMS,Adamas Pharmaceuticals Inc
2014-04-10,ALLY,Ally Financial Inc.
2014-04-10,SYRX,"XTI Aerospace, Inc."
2014-04-11,ENBL,"Enable Midstream Partners, LP"
2014-04-11,FPI,Farmland Partners Inc.
2014-04-11,PAHC,PHIBRO ANIMAL HEALTH CORP
2014-04-11,PRGB,"Protea Biosciences Group, Inc."
2014-04-11,ZOES,"Zoe's Kitchen, Inc."
2014-04-14,WB,WEIBO Corp
2014-04-15,CIO,"City Office REIT, Inc."
2014-04-15,PAYC,"Paycom Software, Inc."
2014-04-16,MC,Moelis & Co
2014-04-16,TRIV,"TriVascular Technologies, Inc."
2014-04-17,SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC."
2014-04-17,VTL,"IMMUNIC, INC."
2014-04-25,VGGL,Function(x) Inc.
2014-04-29,BGSF,"BGSF, INC."
2014-05-02,ALDX,"Aldeyra Therapeutics, Inc."
2014-05-02,ARES,Ares Management Corp
2014-05-02,FRSH,"Papa Murphy's Holdings, Inc."
2014-05-02,SCYX,SCYNEXIS INC
2014-05-07,GLOP,GasLog Partners LP
2014-05-08,CMCM,Cheetah Mobile Inc.
2014-05-08,KTWO,"K2M GROUP HOLDINGS, INC."
2014-05-08,LPG,DORIAN LPG LTD.
2014-05-09,PBFX,PBF Logistics LP
2014-05-14,SFBS,"ServisFirst Bancshares, Inc."
2014-05-15,BWFG,"Bankwell Financial Group, Inc."
2014-05-15,ZEN,"Zendesk, Inc."
2014-05-16,JMEI,Jumei International Holding Ltd
2014-05-16,OUNZ,VanEck Merk Gold ETF
2014-05-16,TRUE,"TrueCar, Inc."
2014-05-20,TGEN,TECOGEN INC.
