date_utc,kind,verdict
2026-08-06,settle,DELIVERED
2026-08-07,read,DELIVERED
2026-08-08,settle,DELIVERED
2026-08-09,settle,DELIVERED
2026-08-10,read,UNCONFIRMED
2026-08-10,settle,REJECTED
2026-08-10,settle,DELIVERED
2026-08-11,read,DELIVERED
2026-08-11,settle,DELIVERED
2026-08-12,read,DELIVERED
2026-08-12,settle,DELIVERED
2026-08-13,read,DELIVERED
2026-08-13,settle,DELIVERED
2026-08-14,read,DELIVERED
2026-08-14,settle,DELIVERED
2026-08-15,settle,DELIVERED
2026-08-16,settle,DELIVERED
2026-08-17,read,DELIVERED
