logged_at,ticker,direction,shares,ref,ref_date,scan_from,limit_px,stop_px,horizon_d,benchmark,status,resolved_on,fill_px,x21_pct,placed_at,pulled_at,note
2026-08-03T18:46:15+00:00,DXCM,long,5,83.45,2026-07-31,2026-08-03,84.28,76.80,21,XLV,filled,2026-08-05,84.28,,2026-08-03,,
2026-08-07T13:53:08+00:00,DVA,long,2,180.67,2026-08-06,2026-08-07,178.00,169.00,21,XLV,filled,2026-08-07,178.00,,2026-08-07,,"user's own dip-bid limit 178 at broker (below mkt ~180.7); ledger records the REAL order | owner corrected 2026-08-18: real GTC was 3 sh, ledger recorded 2 [ARC 5 #13a]"
2026-08-13T14:07:21+00:00,CACI,long,1,680.08,2026-08-12,2026-08-13,686.88,620.00,63,ITA,filled,2026-08-13,674.00,,2026-08-13,,read 2026-08-12 HIGH (only HIGH on board) · funded by 8/13 legacy conversion
2026-08-14T12:07:25+00:00,TPR,long,5,128.39,2026-08-13,2026-08-13,129.67,115.00,21,XRT,filled,2026-08-14,127.95,,,,
2026-08-17T11:42:57+00:00,CAVA,long,,74.42,2026-08-14,2026-08-14,75.16,66.00,21,XLY,filled,2026-08-17,73.30,,,,
2026-08-19T11:38:39+00:00,HAE,long,,104.65,2026-08-18,2026-08-18,105.70,93.00,21,XLV,filled,2026-08-19,105.20,,,,
2026-08-20T11:47:42+00:00,EL,long,,98.01,2026-08-19,2026-08-19,98.99,84.00,21,XLP,filled,2026-08-20,97.43,,,,
2026-08-24T11:40:09+00:00,FN,long,,436.67,2026-08-21,2026-08-21,438.00,430.00,21,SMH,filled,2026-08-24,428.63,,,,
2026-08-25T11:40:56+00:00,JKHY,long,,170.51,2026-08-24,2026-08-24,172.21,162.00,21,XLF,filled,2026-08-25,169.87,,,,
2026-08-26T11:48:44+00:00,MFP,long,,51.47,2026-08-25,2026-08-25,51.98,44.00,63,XLI,filled,2026-08-26,50.12,,,,
2026-08-27T11:44:19+00:00,DY,long,,310.91,2026-08-26,2026-08-26,314.02,280.00,21,XLI,filled,2026-08-27,314.02,,,,
2026-08-28T11:47:41+00:00,ANF,long,,145.75,2026-08-27,2026-08-27,147.21,129.50,21,XRT,filled,2026-08-28,146.07,,,,
2026-08-31T11:50:16+00:00,BURL,long,,272.95,2026-08-28,2026-08-28,275.68,252.00,21,XRT,filled,2026-08-31,270.50,,,,
2026-09-01T11:46:06+00:00,SOLS,long,,63.39,2026-08-31,2026-08-31,64.02,54.00,21,XLB,pending,,,,,,
2026-09-02T11:42:37+00:00,OKTA,long,,166.43,2026-09-01,2026-09-01,168.09,154.00,21,IGV,pending,,,,,,
